name	abbv	tipping_point_rank	safe_for	safe_rank	leans
Alabama	AL		Trump	5	
Alaska	AK		Trump	17	
Arizona	AZ		Trump	23	
Arkansas	AR		Trump	7	
California	CA		Clinton	5	
Colorado	CO	6			Clinton
Connecticut	CT		Clinton	10	
Delaware	DE		Clinton	13	
District of Columbia	DC		Clinton	1	
Florida	FL	1			Clinton
Georgia	GA		Trump	22	
Hawaii	HI		Clinton	2	
Idaho	ID		Trump	2	
Illinois	IL		Clinton	8	
Indiana	IN		Trump	18	
Iowa	IA		Trump	24	
Kansas	KS		Trump	15	
Kentucky	KY		Trump	11	
Louisiana	LA		Trump	13	
Maine	ME		Clinton	16	
Maryland	MD		Clinton	3	
Massachusetts	MA		Clinton	6	
Michigan	MI	3			Clinton
Minnesota	MN	9			Clinton
Mississippi	MS		Trump	12	
Missouri	MO		Trump	21	
Montana	MT		Trump	16	
Nebraska	NE		Trump	6	
Nevada	NV	10			Clinton
New Hampshire	NH	11			Clinton
New Jersey	NJ		Clinton	14	
New Mexico	NM		Clinton	15	
New York	NY		Clinton	7	
North Carolina	NC	4			Trump
North Dakota	ND		Trump	9	
Ohio	OH	5			Trump
Oklahoma	OK		Trump	3	
Oregon	OR		Clinton	12	
Pennsylvania	PA	2			Clinton
Rhode Island	RI		Clinton	9	
South Carolina	SC		Trump	20	
South Dakota	SD		Trump	14	
Tennessee	TN		Trump	8	
Texas	TX		Trump	19	
Utah	UT		Trump	10	
Vermont	VT		Clinton	4	
Virginia	VA	7			Clinton
Washington	WA		Clinton	11	
West Virginia	WV		Trump	4	
Wisconsin	WI	8			Clinton
Wyoming	WY		Trump	1	