name	abbv	tipping_point_rank	safe_for	safe_rank	leans	lean_rank
Alabama	AL		Trump	4		
Alaska	AK		Trump	17		
Arizona	AZ		Trump	23		
Arkansas	AR		Trump	13		
California	CA		Clinton	5		
Colorado	CO	8			Clinton	8
Connecticut	CT		Clinton	11		
Delaware	DE		Clinton	12		
District of Columbia	DC		Clinton	1		
Florida	FL	1			Clinton	4
Georgia	GA		Trump	22		
Hawaii	HI		Clinton	2		
Idaho	ID		Trump	6		
Illinois	IL		Clinton	9		
Indiana	IN		Trump	14		
Iowa	IA				Clinton	1
Kansas	KS		Trump	18		
Kentucky	KY		Trump	9		
Louisiana	LA		Trump	8		
Maine	ME		Clinton	16		
Maryland	MD		Clinton	3		
Massachusetts	MA		Clinton	6		
Michigan	MI	4			Clinton	10
Minnesota	MN	10			Clinton	12
Mississippi	MS		Trump	12		
Missouri	MO		Trump	20		
Montana	MT		Trump	16		
Nebraska	NE		Trump	10		
Nevada	NV	9			Clinton	5
New Hampshire	NH				Clinton	6
New Jersey	NJ		Clinton	15		
New Mexico	NM				Clinton	12
New York	NY		Clinton	8		
North Carolina	NC	5			Clinton	2
North Dakota	ND		Trump	5		
Ohio	OH	2			Clinton	3
Oklahoma	OK		Trump	2		
Oregon	OR		Clinton	13		
Pennsylvania	PA	3			Clinton	7
Rhode Island	RI		Clinton	14		
South Carolina	SC		Trump	21		
South Dakota	SD		Trump	15		
Tennessee	TN		Trump	7		
Texas	TX		Trump	19		
Utah	UT		Trump	11		
Vermont	VT		Clinton	4		
Virginia	VA	6			Clinton	11
Washington	WA		Clinton	10		
West Virginia	WV		Trump	3		
Wisconsin	WI	7			Clinton	9
Wyoming	WY		Trump	1		